"sep=,"
namePCM,nbLigne,nbColone,tailleMatrice
"Comparison_of_ATI_chipsets - Comparison of Southbridges",9,9,81
"Comparison_of_C_Sharp_and_Java - Metadata",2,8,16
"Comparison_of_ATI_chipsets - Comparison of Northbridges",14,11,154
"Comparison_of_BitTorrent_clients -  Features I ",32,14,448
"Comparison_between_Esperanto_and_Ido - Samples",0,4,0
"Comparison_of_behavioral_experiment_software",33,6,198
"Comparison_of_Business_Process_Modeling_Notation_tools -  General ",61,8,488
"Comparison_(grammar) - Comparison in English",1,8,8
"Comparison_of_audio_synthesis_environments - Data interface methods",10,9,90
"Comparison_of_CalDAV_and_CardDAV_implementations - Client implementations",31,6,186
"Comparison_of_browser_synchronizers - Operating system support",10,6,60
"Comparison_of_BSD_operating_systems - Security features",8,7,56
"Comparison_of_business_integration_software - Operating system support",28,7,196
"Comparison_of_ATI_chipsets - Comparison of Northbridges",12,11,132
"Comparison_of_audio_formats -  Multimedia frameworks support ",35,6,210
"Comparison_of_browser_synchronizers - Features",8,16,128
"Comparison_of_BitTorrent_clients -  Features II ",33,14,462
"Comparison_of_BitTorrent_tracker_software",8,5,40
"Comparison_of_Axis_&_Allies_games -  Units ",112,11,1232
"Comparison_of_C_Sharp_and_Visual_Basic_.NET - Object types",1,1,1
"Comparison_of_C_Sharp_and_Visual_Basic_.NET - Conditionals",1,1,1
"Comparison_of_assemblers - ARM assemblers",6,4,24
"Comparison_of_brainwave_entrainment_software - General",13,5,65
"Comparison_of_CalDAV_and_CardDAV_implementations - Server implementations",16,19,304
"Comparison_of_browser_synchronizers - General",6,4,24
"Comparison_of_audio_formats -  Technical details ",7,7,49
"Comparison_of_BitTorrent_clients -  Interface and programming ",35,9,315
"Comparison_of_BSD_operating_systems - Technical information",10,8,80
"Comparison_of_C_Sharp_and_Java -  C# delegates and equivalent Java constructs ",1,1,1
"Comparison_of_Canadian-tax_preparation_software_for_personal_use",20,11,220
"Comparison_of_C_Sharp_and_Java -  Methods ",16,3,48
"Comparison_of_C_Sharp_and_Java -  Reference (in/out) parameters ",1,3,3
"Comparison_between_Esperanto_and_Interlingua -  Sample text: the  ",3,12,36
"Comparison_of_Chernobyl_and_other_radioactivity_releases - Chernobyl compared with an atomic bomb",4,2,8
"Comparison_of_C_Sharp_and_Java -  Threading and asynchronous features ",6,3,18
"Comparison_of_California_ski_resorts",28,11,308
"Comparison_of_C_Sharp_and_Java -  Arrays and collections ",15,3,45
"Comparison_of_assemblers - 680x0 assemblers",18,6,108
"Comparison_of_C_Sharp_and_Java - Statements",8,3,24
"Comparison_of_audio_player_software - Metadata ability",21,8,168
"Comparison_of_C_Sharp_and_Java -  Keywords and backward compatibility ",10,2,20
"Comparison_of_audio_synthesis_environments - Technical",7,5,35
"Comparison_of_BitTorrent_sites - Site comparison",53,13,689
"Comparison_of_audio_synthesis_environments - Programming language features",8,4,32
"Comparison_of_boot_loaders - Features",21,35,735
"Comparison_of_BitTorrent_clients -  Operating system support ",37,8,296
"Comparison_of_C_Sharp_and_Java -  Generics ",10,3,30
"Comparison_of_C_Sharp_and_Java -  Integration of library defined types ",1,1,1
"Comparison_of_business_integration_software - General information",38,8,304
"Comparison_of_C_Sharp_and_Java -  Reference types ",2,6,12
"Comparison_of_boot_loaders -  Technical information ",20,10,200
"Comparison_of_Chernobyl_and_other_radioactivity_releases - Chernobyl compared with an atomic bomb",0,1,0
"Comparison_of_assemblers - Other architectures",3,24,72
"Comparison_of_assemblers - x86 assemblers",27,6,162
"Comparison_of_assemblers - IBM mainframe assemblers",8,4,32
"Comparison_of_audio_player_software - General",38,8,304
"Comparison_of_assemblers - 6502 assemblers",24,4,96
"Comparison_of_BitTorrent_clients -  Libraries ",13,5,65
"Comparison_between_Esperanto_and_Interlingua -  Grammar and word formation ",8,3,24
"Comparison_of_C_Sharp_and_Java -  Types ",21,3,63
"Comparison_of_Asian_national_space_programs - Timeline of national firsts",38,5,190
"Comparison_of_BitTorrent_clients -  Libraries ",3,5,15
"Comparison_of_Canon_EOS_digital_cameras - General information",49,17,833
"Comparison_of_C_Sharp_and_Java -  Functional programming ",6,3,18
"Comparison_of_C_Sharp_and_Java -  Platform support ",14,3,42
"Comparison_of_audio_formats -  Operating system support ",15,10,150
"Comparison_of_C_Sharp_and_Visual_Basic_.NET - Comments",1,2,2
"Comparison_of_C_Sharp_and_Java -  Fields and initialization ",10,3,30
"Comparison_of_Asian_national_space_programs -  Comparison of key technologies ",3,11,33
"Comparison_of_C_Sharp_and_Java -  Type erasure versus reified generics ",1,13,13
"Comparison_of_audio_formats -  Technical details ",34,9,306
"Comparison_of_C_Sharp_and_Visual_Basic_.NET - Primitive types",1,2,2
"Comparison_of_C_Sharp_and_Visual_Basic_.NET - Loops",1,1,1
"Comparison_of_audio_player_software - Protocol abilities",19,6,114
"Comparison_of_C_Sharp_and_Java -  Expressions and operators ",12,3,36
"Comparison_of_C_Sharp_and_Java -  Exceptions ",2,3,6
"Comparison_of_audio_synthesis_environments - General",7,10,70
"Comparison_of_brainwave_entrainment_software - Stimuli/Methods",13,5,65
"Comparison_of_audio_player_software - Features",26,9,234
"Comparison_of_C_Sharp_and_Java -  Arrays and collections ",1,2,2
"Comparison_of_brainwave_entrainment_software - Features",13,9,117
"Comparison_of_browser_synchronizers - Syncable Items",9,5,45
"Comparison_of_audio_player_software - Playlist format ability",5,23,115
"Comparison_of_audio_player_software - Optical media ability",20,2,40
"Comparison_of_C_Sharp_and_Java -  Native interoperability ",2,10,20
"Comparison_between_Esperanto_and_Novial - Alphabet and pronunciation",30,3,90
"Comparison_of_audio_formats -  Technical details ",20,10,200
"Comparison_of_baseball_and_softball - Table of comparison",2,26,52
"Comparison_of_C_Sharp_and_Java -  Preprocessing, compilation and packaging ",2,8,16
"Comparison_of_audio_formats -  General information ",43,14,602
"Comparison_of_C_Sharp_and_Java -  Input/output ",1,2,2
"Comparison_of_Asian_national_space_programs -  Orbital Launch Frequency ",15,9,135
"Comparison_of_business_integration_software - Database support",14,23,322
"Comparison_between_Esperanto_and_Ido - Morphology",12,4,48
"Comparison_of_BitTorrent_clients -  Vulnerabilities ",5,28,140
"Comparison_of_C_Sharp_and_Java -  Enumerations ",2,3,6
"Comparison_of_BitTorrent_clients -  Libraries ",5,5,25
"Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita",207,3,621
"Comparison_of_C_Sharp_and_Java -  Constant/immutable parameters ",1,2,2
"Comparison_between_Esperanto_and_Ido -  Pronouns ",13,4,52
"Comparison_of_assemblers - Power Architecture assemblers",5,4,20
"Comparison_of_audio_player_software - Container format ability",20,11,220
"Comparison_of_ATI_chipsets - Comparison of Southbridges",8,9,72
"Comparison_of_audio_player_software - Extended features",10,25,250
"Comparison_of_audio_player_software - Audio format ability",26,3,78
"Comparison_of_BSD_operating_systems - General information",36,10,360
"Comparison_between_Esperanto_and_Ido - Correlatives",5,10,50
"Comparison_of_audio_player_software - Operating system compatibility",33,10,330
"Comparison_of_C_Sharp_and_Java -  Object orientation programming ",18,3,54
"Comparison_of_BitTorrent_clients -  Libraries ",9,5,45
"Comparison_of_C_Sharp_and_Java -  Fibonacci sequence ",1,2,2
"Comparison_between_Esperanto_and_Ido - Vocabulary",16,14,224
"Comparison_of_audio_player_software - Scalable, composite and emulation format abilities",15,21,315
"Comparison_of_C_Sharp_and_Java -  Type lifting ",1,1,1
"Comparison_of_birth_control_methods - Effectiveness",34,7,238
"Comparison_of_CAD,_CAM_and_CAE_file_viewers -  Comparison of CAD/CAM/CAE file viewers ",5,10,50
"Comparison_of_C_Sharp_and_Java -  Arrays and collections ",1,8,8
"Comparison_of_Asian_national_space_programs -  Other achievements ",8,4,32
"Comparison_of_C_Sharp_and_Java - Interoperability with dynamic languages",1,2,2
"Comparison_of_browser_synchronizers - Syncable Browsers",6,5,30
"Comparison_of_BitTorrent_clients -  General ",39,5,195
